Feedback ID,Customer ID,Customer Name,Customer Segment,Industry,Subscription Plan,Feedback Date,Feedback Source,Feedback Type,Feedback Text,Product Area,Feature Requested,Pain Point Category,Severity Level,Sentiment Score,Customer Satisfaction Score,NPS Score,Frequency of Similar Requests,Revenue Impact,Retention Risk,Business Value Score,Customer Impact Score,Strategic Alignment Score,Development Effort,Priority Score,Roadmap Decision,Roadmap Quarter,Feedback Status
FB-0001,CUST-001,Customer 01,Enterprise,EdTech,Enterprise,2026-05-24,Support Ticket,Feature Request,We would value better smart notifications to support our growing team.,Notifications,Smart Notifications,Notification overload,High,-0.81,1,-92,28,2,1,1.93,5,1,5,2.0,Monitor,Q2 2027,Under Review
FB-0002,CUST-002,Customer 02,Mid-Market,Healthcare,Pro,2026-06-04,Product Review,Product Enhancement,We need team collaboration because the current workflow is slowing our team down.,Collaboration,Team Collaboration,Collaboration friction,High,-0.8,3,-45,10,1,2,1.33,4,3,3,2.6,Later,Q3 2026,Roadmap
FB-0003,CUST-003,Customer 03,Startup,Healthcare,Enterprise,2026-08-07,Support Ticket,Complaint,The Reporting experience is difficult and requires too many manual steps.,Reporting,Custom Reports,Manual reporting,Low,0.41,2,47,24,4,1,2.47,5,3,5,2.8,Later,Q3 2026,New
FB-0004,CUST-004,Customer 04,Startup,Manufacturing,Business,2026-02-11,Community Forum,Pricing Feedback,We would value better mobile offline mode to support our growing team.,Mobile App,Mobile Offline Mode,Mobile limitation,Medium,0.22,1,79,18,3,2,2.27,3,3,2,3.0,Later,Q2 2027,Under Review
FB-0005,CUST-005,Customer 05,SMB,FinTech,Starter,2026-04-12,Community Forum,Complaint,Please improve real-time dashboard; this is affecting adoption for our users.,Dashboard,Real-time Dashboard,Slow performance,Medium,0.83,2,-84,18,1,2,1.6,1,3,4,1.8,Monitor,Q4 2026,In Progress
FB-0006,CUST-006,Customer 06,SMB,Retail,Enterprise,2026-07-13,Customer Interview,Usability Issue,We would value better real-time dashboard to support our growing team.,Dashboard,Real-time Dashboard,Slow performance,Medium,0.99,2,-8,26,5,3,3.53,5,4,5,3.6,Next,Q3 2026,Under Review
FB-0007,CUST-007,Customer 07,Mid-Market,Healthcare,Pro,2026-01-29,Product Review,Usability Issue,We would value better global search to support our growing team.,Search,Global Search,Poor discoverability,Medium,0.36,1,41,17,4,4,3.23,5,4,5,3.6,Next,Q2 2027,New
FB-0008,CUST-008,Customer 08,Mid-Market,FinTech,Enterprise,2026-06-03,Sales Feedback,Product Enhancement,Please improve advanced analytics; this is affecting adoption for our users.,Analytics,Advanced Analytics,Limited visibility,Low,0.22,5,63,20,3,5,3.33,2,5,1,4.0,Next,Q2 2027,Under Review
FB-0009,CUST-009,Customer 09,Enterprise,FinTech,Starter,2026-05-21,NPS Survey,Bug,The Billing experience is difficult and requires too many manual steps.,Billing,Flexible Billing,Billing friction,Low,0.63,4,-79,6,3,2,1.87,1,2,5,1.8,Monitor,Q1 2027,In Progress
FB-0010,CUST-010,Customer 10,Startup,SaaS,Business,2026-05-31,Support Ticket,Performance Issue,Please improve faster page load; this is affecting adoption for our users.,Performance,Faster Page Load,Workflow inefficiency,Medium,-0.5,1,15,34,2,3,2.8,4,3,4,2.8,Later,Q3 2026,New
FB-0011,CUST-011,Customer 11,Enterprise,EdTech,Starter,2026-03-04,Community Forum,Feature Request,We would value better real-time dashboard to support our growing team.,Dashboard,Real-time Dashboard,Slow performance,Critical,-0.57,4,71,18,1,3,1.93,1,5,2,2.8,Later,Q2 2027,Under Review
FB-0012,CUST-012,Customer 12,Mid-Market,FinTech,Business,2026-05-18,Community Forum,Bug,The Reporting experience is difficult and requires too many manual steps.,Reporting,Custom Reports,Manual reporting,Medium,0.46,4,-85,7,3,4,2.57,4,4,1,4.0,Next,Q4 2026,New
FB-0013,CUST-013,Customer 13,Startup,Retail,Starter,2026-05-04,Support Ticket,Usability Issue,The Notifications experience is difficult and requires too many manual steps.,Notifications,Smart Notifications,Notification overload,Medium,0.85,1,-97,35,1,4,2.83,5,1,1,3.2,Later,Q2 2027,Under Review
FB-0014,CUST-014,Customer 14,Enterprise,Manufacturing,Enterprise,2026-07-11,Sales Feedback,Usability Issue,We would value better global search to support our growing team.,Search,Global Search,Poor discoverability,Critical,-0.41,2,-61,32,4,3,3.4,4,3,4,3.2,Later,Q3 2026,New
